id,AspectTerms,A_start,A_end,OpinionTerms,O_start,O_end,Categories,Polarities,text
10,态度,5,7,太好了,7,10,物流,积极,主要店家的态度太好了，机器也好使，有问题店家神一样速度的处理方案，特别满意，给的赠品也特别好用，值得推荐！售后一点都不用担心，真省心！正品行货！
10,_, , ,正品,67,69,整体,积极,主要店家的态度太好了，机器也好使，有问题店家神一样速度的处理方案，特别满意，给的赠品也特别好用，值得推荐！售后一点都不用担心，真省心！正品行货！
10,赠品,40,42,特别好用,43,47,赠品,积极,主要店家的态度太好了，机器也好使，有问题店家神一样速度的处理方案，特别满意，给的赠品也特别好用，值得推荐！售后一点都不用担心，真省心！正品行货！
11,_, , ,很好用,0,3,使用体验,积极,很好用。拍的很清晰。物流顺丰，很快
11,物流,10,12,很快,15,17,物流,积极,很好用。拍的很清晰。物流顺丰，很快
11,_, , ,很清晰,6,9,拍摄,积极,很好用。拍的很清晰。物流顺丰，很快
12,_, , ,非常好用,0,4,使用体验,积极,非常好用，之前买过一个，让朋友要去了，这又买了一个！
13,_, , ,很好用,0,3,使用体验,积极,很好用，业务好帮手，机子已被拿走拍照，补个图
14,_, , ,满意,10,12,整体,积极,快递很快，质量很好，满意！
14,质量,5,7,很好,7,9,整体,积极,快递很快，质量很好，满意！
14,快递,0,2,很快,2,4,物流,积极,快递很快，质量很好，满意！
15,_, , ,很不错,0,3,整体,积极,很不错，居家旅游必备
16,_, , ,很好,0,2,整体,积极,很好，很强大。真的好好
16,_, , ,真的好好,7,11,整体,积极,很好，很强大。真的好好
16,_, , ,很强大,3,6,整体,积极,很好，很强大。真的好好
17,_, , ,很实用,14,17,使用体验,积极,物流飞快到。VR第二次购买了很实用，就是发票没有一起寄过来。
17,物流,0,2,飞快到,2,5,物流,积极,物流飞快到。VR第二次购买了很实用，就是发票没有一起寄过来。
18,_, , ,还不错,13,16,拍摄,积极,应该没啥问题，拍了几张感觉还不错的。还在摸索中
18,_, , ,没啥问题,2,6,整体,中性,应该没啥问题，拍了几张感觉还不错的。还在摸索中
19,_, , ,比较简单,13,17,使用体验,积极,同事介绍的这家店，使用起来比较简单。
20,_, , ,好评,17,19,整体,积极,相机已收到，已经用上了，效果不错，好评！
20,效果,12,14,不错,14,16,拍摄,积极,相机已收到，已经用上了，效果不错，好评！
21,_, , ,还可以,15,18,整体,中性,遇到双十一晚了两天到，不过产品还可以
22,_, , ,不错,6,8,整体,积极,同事都在用，不错
23,_, , ,还可以,5,8,整体,中性,收到货了，还可以
24,_, , ,还行吧,0,3,整体,中性,还行吧，只是为了安居客拍照
25,_, , ,好用,0,2,使用体验,积极,好用 还会回购
26,_, , ,很好用,2,5,使用体验,积极,东西很好用
27,_, , ,还行,0,2,整体,中性,还行。
28,_, , ,很实用,4,7,使用体验,积极,还不错，很实用，已经用了几天啦，非常方便，精致小巧
28,_, , ,还不错,0,3,整体,积极,还不错，很实用，已经用了几天啦，非常方便，精致小巧
28,_, , ,非常方便,16,20,使用体验,积极,还不错，很实用，已经用了几天啦，非常方便，精致小巧
28,_, , ,精致小巧,21,25,外观,积极,还不错，很实用，已经用了几天啦，非常方便，精致小巧
29,_, , ,还可以,0,3,整体,中性,还可以。。
30,_, , ,好评,55,57,整体,积极,相机很不错，拍摄很给力！主要用于网络~的拍摄！物流非常快！客户服务态度非常好?，已经验货，没有问题！良心店家！好评！
30,_, , ,很不错,2,5,整体,积极,相机很不错，拍摄很给力！主要用于网络~的拍摄！物流非常快！客户服务态度非常好?，已经验货，没有问题！良心店家！好评！
30,物流,23,25,非常快,25,28,物流,积极,相机很不错，拍摄很给力！主要用于网络~的拍摄！物流非常快！客户服务态度非常好?，已经验货，没有问题！良心店家！好评！
30,客户服务态度,29,35,非常好,35,38,物流,积极,相机很不错，拍摄很给力！主要用于网络~的拍摄！物流非常快！客户服务态度非常好?，已经验货，没有问题！良心店家！好评！
30,_, , ,没有问题,45,49,整体,积极,相机很不错，拍摄很给力！主要用于网络~的拍摄！物流非常快！客户服务态度非常好?，已经验货，没有问题！良心店家！好评！
31,_, , ,很喜欢,87,90,整体,积极,理光这款产品 用了一段时间 才评论的 因为第一次使用全景的照相机。双面镜头。拍出来的照片无死角。照片视频 都比较新颖  还可以搭配vr眼镜 就很好 操作起来也很方便简单 很好很喜欢
31,操作,74,76,方便简单,80,84,使用体验,积极,理光这款产品 用了一段时间 才评论的 因为第一次使用全景的照相机。双面镜头。拍出来的照片无死角。照片视频 都比较新颖  还可以搭配vr眼镜 就很好 操作起来也很方便简单 很好很喜欢
32,_, , ,很不错,25,28,整体,积极,相机已收到，是正品带发票，送的脚架相机包和充电头，很不错，用了一次还没有熟悉它的操作方法，感觉不错，值得信赖。
32,_, , ,正品,7,9,整体,积极,相机已收到，是正品带发票，送的脚架相机包和充电头，很不错，用了一次还没有熟悉它的操作方法，感觉不错，值得信赖。
32,_, , ,值得信赖,50,54,整体,积极,相机已收到，是正品带发票，送的脚架相机包和充电头，很不错，用了一次还没有熟悉它的操作方法，感觉不错，值得信赖。
33,_, , ,挺满意,6,9,整体,积极,宝贝收到还是挺满意的，质量非常好，与卖家描述的完全一致，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。对比筛选了几家，还是觉得这家比较合适。之后还会一直在这里购买的，5分推荐！
33,质量,11,13,非常好,13,16,整体,积极,宝贝收到还是挺满意的，质量非常好，与卖家描述的完全一致，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。对比筛选了几家，还是觉得这家比较合适。之后还会一直在这里购买的，5分推荐！
33,运送速度,71,75,很快,75,77,物流,积极,宝贝收到还是挺满意的，质量非常好，与卖家描述的完全一致，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。对比筛选了几家，还是觉得这家比较合适。之后还会一直在这里购买的，5分推荐！
33,发货速度,42,46,非常快,46,49,物流,积极,宝贝收到还是挺满意的，质量非常好，与卖家描述的完全一致，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。对比筛选了几家，还是觉得这家比较合适。之后还会一直在这里购买的，5分推荐！
33,服务态度,64,68,很好,68,70,物流,积极,宝贝收到还是挺满意的，质量非常好，与卖家描述的完全一致，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。对比筛选了几家，还是觉得这家比较合适。之后还会一直在这里购买的，5分推荐！
33,包装,50,52,非常仔细,52,56,物流,积极,宝贝收到还是挺满意的，质量非常好，与卖家描述的完全一致，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。对比筛选了几家，还是觉得这家比较合适。之后还会一直在这里购买的，5分推荐！
33,_, , ,很喜欢,30,33,整体,积极,宝贝收到还是挺满意的，质量非常好，与卖家描述的完全一致，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。对比筛选了几家，还是觉得这家比较合适。之后还会一直在这里购买的，5分推荐！
34,_, , ,好操作,19,22,使用体验,积极,房产经纪人离不开的设备，画面感很好，也好操作，物流也很快，，不会连接，客服一一解答，???
34,物流,23,25,很快,26,28,物流,积极,房产经纪人离不开的设备，画面感很好，也好操作，物流也很快，，不会连接，客服一一解答，???
34,画面感,12,15,很好,15,17,拍摄,积极,房产经纪人离不开的设备，画面感很好，也好操作，物流也很快，，不会连接，客服一一解答，???
35,_, , ,相当棒,0,3,整体,积极,相当棒我的天，360度基本没死角的拍摄，经纪人好帮手啊，出去玩也不错，最近抖音挺火的
35,_, , ,不错,32,34,整体,积极,相当棒我的天，360度基本没死角的拍摄，经纪人好帮手啊，出去玩也不错，最近抖音挺火的
36,_, , ,很满意,14,17,整体,积极,VR很高清 操作使用很方便 很满意 物流超快当天到货 感谢客服耐心服务
36,操作使用,6,10,很方便,10,13,使用体验,积极,VR很高清 操作使用很方便 很满意 物流超快当天到货 感谢客服耐心服务
36,物流,18,20,超快,20,22,物流,积极,VR很高清 操作使用很方便 很满意 物流超快当天到货 感谢客服耐心服务
36,_, , ,很高清,2,5,拍摄,积极,VR很高清 操作使用很方便 很满意 物流超快当天到货 感谢客服耐心服务
36,客服,29,31,耐心服务,31,35,服务,积极,VR很高清 操作使用很方便 很满意 物流超快当天到货 感谢客服耐心服务
37,_, , ,好评,24,26,整体,积极,已经开始用了，操作简单，上手很容易，清晰度也够，好评
37,清晰度,18,21,够,22,23,拍摄,积极,已经开始用了，操作简单，上手很容易，清晰度也够，好评
37,操作,7,9,简单,9,11,使用体验,积极,已经开始用了，操作简单，上手很容易，清晰度也够，好评
37,上手,12,14,很容易,14,17,使用体验,积极,已经开始用了，操作简单，上手很容易，清晰度也够，好评
38,_, , ,非常好,0,3,整体,积极,非常好，产品好，配件好，商家也好，第二次购买了，现在就在拍
39,_, , ,好评,26,28,整体,积极,相机收到，还没有开始使用，赠品都很齐全，快递也很快。好评。
39,快递,20,22,很快,23,25,物流,积极,相机收到，还没有开始使用，赠品都很齐全，快递也很快。好评。
39,赠品,13,15,很齐全,16,19,赠品,积极,相机收到，还没有开始使用，赠品都很齐全，快递也很快。好评。
40,_, , ,很好,7,9,使用体验,积极,公司买的，用着很好，清晰度不错，现在都争着拍照片
40,清晰度,10,13,不错,13,15,拍摄,积极,公司买的，用着很好，清晰度不错，现在都争着拍照片
41,_, , ,很不错,0,3,整体,积极,很不错，效果很好！服务也很好
42,_, , ,大爱,24,26,整体,积极,正品行货没有让我失望，全景很完美，赠品也很实用，大爱。
42,_, , ,正品,0,2,整体,积极,正品行货没有让我失望，全景很完美，赠品也很实用，大爱。
42,赠品,17,19,很实用,20,23,赠品,积极,正品行货没有让我失望，全景很完美，赠品也很实用，大爱。
42,全景,11,13,很完美,13,16,拍摄,积极,正品行货没有让我失望，全景很完美，赠品也很实用，大爱。
43,_, , ,点赞,18,20,整体,积极,发货快，宝贝很不错，喜欢，值得推荐 点赞
43,_, , ,喜欢,10,12,整体,积极,发货快，宝贝很不错，喜欢，值得推荐 点赞
43,宝贝,4,6,很不错,6,9,整体,积极,发货快，宝贝很不错，喜欢，值得推荐 点赞
44,_, , ,真不错,8,11,整体,积极,太给力的售后了，真不错！第二回买了
44,售后,4,6,太给力,0,3,服务,积极,太给力的售后了，真不错！第二回买了
45,_, , ,真不错,24,27,整体,积极,宝贝收到第一时间就去试用，摸索着成功上传2套~，真不错，信用分也涨了，客流量也刷刷往上涨，加油加油加油，做房产销售怎能少了如此神器
46,_, , ,好评,20,22,整体,积极,虽然中间有点小插曲 但总体还是不错的  好评
46,_, , ,不错,15,17,整体,积极,虽然中间有点小插曲 但总体还是不错的  好评
47,_, , ,还不错,11,14,整体,积极,在就到货啦。用了一下，还不错，如有需要会再次购买。
48,_, , ,方便,10,12,使用体验,积极,相机已经收到了，小巧方便，手感不错。
48,手感,13,15,不错,15,17,使用体验,积极,相机已经收到了，小巧方便，手感不错。
48,_, , ,小巧,8,10,外观,积极,相机已经收到了，小巧方便，手感不错。
49,_, , ,还可以,14,17,整体,中性,以下图片都是套餐里的了 感觉还可以吧，明天打算正式使用 稍后再追加评价
50,_, , ,方便,3,5,使用体验,积极,挺好，方便易学。
50,_, , ,挺好,0,2,整体,积极,挺好，方便易学。
50,_, , ,易学,5,7,使用体验,积极,挺好，方便易学。
51,_, , ,特别好,0,3,整体,积极,特别好。。。。
52,_, , ,非常好用,0,4,使用体验,积极,非常好用 好评好评
52,_, , ,好评好评,5,9,整体,积极,非常好用 好评好评
54,_, , ,挺方便,4,7,使用体验,积极,东西不错挺方便，可以上传123看房和安居客，不过就是画面太渣，高光处、高反差边缘处各种紫边，像素不够高噪点明显，业务需要凑合着用吧。
54,_, , ,不错,2,4,整体,积极,东西不错挺方便，可以上传123看房和安居客，不过就是画面太渣，高光处、高反差边缘处各种紫边，像素不够高噪点明显，业务需要凑合着用吧。
54,画面,26,28,太渣,28,30,拍摄,消极,东西不错挺方便，可以上传123看房和安居客，不过就是画面太渣，高光处、高反差边缘处各种紫边，像素不够高噪点明显，业务需要凑合着用吧。
54,像素,46,48,不够高,48,51,拍摄,消极,东西不错挺方便，可以上传123看房和安居客，不过就是画面太渣，高光处、高反差边缘处各种紫边，像素不够高噪点明显，业务需要凑合着用吧。
55,_, , ,坏,11,12,整体,消极,产品是假货，拿过来就是坏的，用不了，还退不了，大家买要小心啦
55,_, , ,假货,3,5,整体,消极,产品是假货，拿过来就是坏的，用不了，还退不了，大家买要小心啦
56,_, , ,挺好,0,2,整体,积极,挺好！！666
57,_, , ,很不错,24,27,整体,积极,产品正宗，颜色漂亮，送的东西很多，也基本能用上。很不错的产品，价格相对其它的也便宜，好东西，值得介绍。原配保护套柔软，送的保护套比较大，又比较硬，正好将原配的保护套和产品一起放入，保护很周全。三角架送的配件比较多，安装时，研究了一下其使用方法，还不错，基本都能用上。
57,价格,31,33,便宜,39,41,价格,积极,产品正宗，颜色漂亮，送的东西很多，也基本能用上。很不错的产品，价格相对其它的也便宜，好东西，值得介绍。原配保护套柔软，送的保护套比较大，又比较硬，正好将原配的保护套和产品一起放入，保护很周全。三角架送的配件比较多，安装时，研究了一下其使用方法，还不错，基本都能用上。
57,_, , ,正宗,2,4,整体,积极,产品正宗，颜色漂亮，送的东西很多，也基本能用上。很不错的产品，价格相对其它的也便宜，好东西，值得介绍。原配保护套柔软，送的保护套比较大，又比较硬，正好将原配的保护套和产品一起放入，保护很周全。三角架送的配件比较多，安装时，研究了一下其使用方法，还不错，基本都能用上。
57,颜色,5,7,漂亮,7,9,外观,积极,产品正宗，颜色漂亮，送的东西很多，也基本能用上。很不错的产品，价格相对其它的也便宜，好东西，值得介绍。原配保护套柔软，送的保护套比较大，又比较硬，正好将原配的保护套和产品一起放入，保护很周全。三角架送的配件比较多，安装时，研究了一下其使用方法，还不错，基本都能用上。
57,送的东西,10,14,很多,14,16,赠品,积极,产品正宗，颜色漂亮，送的东西很多，也基本能用上。很不错的产品，价格相对其它的也便宜，好东西，值得介绍。原配保护套柔软，送的保护套比较大，又比较硬，正好将原配的保护套和产品一起放入，保护很周全。三角架送的配件比较多，安装时，研究了一下其使用方法，还不错，基本都能用上。
57,_, , ,还不错,122,125,整体,积极,产品正宗，颜色漂亮，送的东西很多，也基本能用上。很不错的产品，价格相对其它的也便宜，好东西，值得介绍。原配保护套柔软，送的保护套比较大，又比较硬，正好将原配的保护套和产品一起放入，保护很周全。三角架送的配件比较多，安装时，研究了一下其使用方法，还不错，基本都能用上。
57,_, , ,好东西,42,45,整体,积极,产品正宗，颜色漂亮，送的东西很多，也基本能用上。很不错的产品，价格相对其它的也便宜，好东西，值得介绍。原配保护套柔软，送的保护套比较大，又比较硬，正好将原配的保护套和产品一起放入，保护很周全。三角架送的配件比较多，安装时，研究了一下其使用方法，还不错，基本都能用上。
58,_, , ,挺不错,5,8,整体,积极,货收到了，挺不错的，当时就试了两套房子的全景拍摄，效果很不错，在安居客上的点击率翻了几倍。真正的开单利器
58,效果,25,27,很不错,27,30,拍摄,积极,货收到了，挺不错的，当时就试了两套房子的全景拍摄，效果很不错，在安居客上的点击率翻了几倍。真正的开单利器
59,_, , ,好评,31,33,整体,积极,物流服务超快，收到货就迫不及待拆开试了一下，操作简单外观漂亮！好评
59,物流,0,2,超快,4,6,物流,积极,物流服务超快，收到货就迫不及待拆开试了一下，操作简单外观漂亮！好评
59,操作,22,24,简单,24,26,使用体验,积极,物流服务超快，收到货就迫不及待拆开试了一下，操作简单外观漂亮！好评
59,外观,26,28,漂亮,28,30,外观,积极,物流服务超快，收到货就迫不及待拆开试了一下，操作简单外观漂亮！好评
60,_, , ,很方便,12,15,使用体验,积极,很好用，已经用上了，用起很方便，简单就可以操作。
60,_, , ,很好用,0,3,使用体验,积极,很好用，已经用上了，用起很方便，简单就可以操作。
60,操作,21,23,简单,16,18,使用体验,积极,很好用，已经用上了，用起很方便，简单就可以操作。
61,_, , ,好评,0,2,整体,积极,好评，给了些实用的赠品，相机也很好！
61,赠品,9,11,实用,6,8,赠品,积极,好评，给了些实用的赠品，相机也很好！
61,_, , ,很好,15,17,整体,积极,好评，给了些实用的赠品，相机也很好！
62,_, , ,棒棒,15,17,整体,积极,产品质量很好，很快就收到货了！棒棒的！送的东西特别多！
62,产品质量,0,4,很好,4,6,整体,积极,产品质量很好，很快就收到货了！棒棒的！送的东西特别多！
62,送的东西,19,23,特别多,23,26,赠品,积极,产品质量很好，很快就收到货了！棒棒的！送的东西特别多！
63,_, , ,好赞,17,19,整体,积极,非常好用，一收到马上去拍全景图了，好赞！
63,_, , ,非常好用,0,4,使用体验,积极,非常好用，一收到马上去拍全景图了，好赞！
64,_, , ,非常不错,22,26,整体,积极,买了好几个这个相机，用于安居客拍摄全景使用，非常不错
65,_, , ,超赞,14,16,整体,积极,好，很好，特别好，相当地好，超赞！！！
65,_, , ,很好,2,4,整体,积极,好，很好，特别好，相当地好，超赞！！！
65,_, , ,特别好,5,8,整体,积极,好，很好，特别好，相当地好，超赞！！！
65,_, , ,相当地好,9,13,整体,积极,好，很好，特别好，相当地好，超赞！！！
66,_, , ,真好,0,2,整体,积极,真好，很值得购买简单好用。
66,_, , ,简单好用,8,12,使用体验,积极,真好，很值得购买简单好用。
67,_, , ,还不错,8,11,整体,积极,已经使用几天了，还不错，客服也很好
67,客服,12,14,很好,15,17,服务,积极,已经使用几天了，还不错，客服也很好
68,_, , ,很实用,2,5,使用体验,积极,不错很实用的，性价比也还可以。
68,_, , ,不错,0,2,整体,积极,不错很实用的，性价比也还可以。
68,性价比,7,10,还可以,11,14,价格,中性,不错很实用的，性价比也还可以。
69,_, , ,好评,34,36,整体,积极,挺好的东东，方便小巧颜值高，价格合适，店家不错，发货神速，还是顺丰，好评！
69,东东,3,5,挺好,0,2,整体,积极,挺好的东东，方便小巧颜值高，价格合适，店家不错，发货神速，还是顺丰，好评！
69,发货,24,26,神速,26,28,物流,积极,挺好的东东，方便小巧颜值高，价格合适，店家不错，发货神速，还是顺丰，好评！
69,价格,14,16,合适,16,18,价格,积极,挺好的东东，方便小巧颜值高，价格合适，店家不错，发货神速，还是顺丰，好评！
69,店家,19,21,不错,21,23,服务,积极,挺好的东东，方便小巧颜值高，价格合适，店家不错，发货神速，还是顺丰，好评！
69,_, , ,小巧,8,10,外观,积极,挺好的东东，方便小巧颜值高，价格合适，店家不错，发货神速，还是顺丰，好评！
69,_, , ,方便,6,8,使用体验,积极,挺好的东东，方便小巧颜值高，价格合适，店家不错，发货神速，还是顺丰，好评！
69,颜值,10,12,高,12,13,外观,积极,挺好的东东，方便小巧颜值高，价格合适，店家不错，发货神速，还是顺丰，好评！
70,_, , ,好评,22,24,整体,积极,商品质量不错，这几天用了几次直接给用到没电，好评，良心商家放心使用
70,商品质量,0,4,不错,4,6,整体,积极,商品质量不错，这几天用了几次直接给用到没电，好评，良心商家放心使用
71,_, , ,可以,20,22,整体,积极,产品不错的，给公司买的，自己拿来试试手，可以的，一天就到了，棒棒哒
71,_, , ,棒棒哒,30,33,整体,积极,产品不错的，给公司买的，自己拿来试试手，可以的，一天就到了，棒棒哒
71,_, , ,不错,2,4,整体,积极,产品不错的，给公司买的，自己拿来试试手，可以的，一天就到了，棒棒哒
72,_, , ,还可以,9,12,整体,中性,到手就试用了一下，还可以，方便操作。架子相机绝配。
72,操作,15,17,方便,13,15,使用体验,积极,到手就试用了一下，还可以，方便操作。架子相机绝配。
73,_, , ,不错,2,4,整体,积极,总体不错  值得购买
74,_, , ,还不错,2,5,整体,积极,感觉还不错。
75,_, , ,还行,0,2,整体,中性,还行，卖房子的下本
76,_, , ,很不错,3,6,整体,积极,没色差很不错
76,_, , ,没色差,0,3,拍摄,积极,没色差很不错
77,_, , ,很满意,4,7,整体,积极,已收到，很满意
78,_, , ,还可以,0,3,整体,中性,还可以?
79,_, , ,不错,0,2,整体,积极,不错，同事都在用
80,_, , ,挺方便,3,6,使用体验,积极,用起来挺方便，
81,_, , ,好用,0,2,使用体验,积极,好用不错
81,_, , ,不错,2,4,整体,积极,好用不错
82,_, , ,挺好,0,2,整体,积极,挺好的。
84,_, , ,不是很方便,0,5,使用体验,消极,不是很方便  电池不耐用 拍两三套房就没电了
85,_, , ,非常好,12,15,整体,积极,单位办公用，安居客推荐，非常好的房产利器
86,_, , ,好评,10,12,整体,积极,客户服务很周到，必须好评
86,客户服务,0,4,很周到,4,7,物流,积极,客户服务很周到，必须好评
87,_, , ,还不错,7,10,整体,积极,支架安装好了，还不错。
88,_, , ,方便,7,9,使用体验,积极,很不错，好用，方便
88,_, , ,好用,4,6,使用体验,积极,很不错，好用，方便
88,_, , ,很不错,0,3,整体,积极,很不错，好用，方便
89,_, , ,好用,5,7,使用体验,积极,很不错的！好用
89,_, , ,很不错,0,3,整体,积极,很不错的！好用
90,_, , ,挺好用,6,9,使用体验,积极,不错，装上了挺好用！！！！！！！！。。。。
90,_, , ,不错,0,2,整体,积极,不错，装上了挺好用！！！！！！！！。。。。
91,_, , ,不错,2,4,整体,积极,感觉不错，期待充满电用
92,_, , ,不错,0,2,整体,积极,不错！！！！！！！！
93,_, , ,好评,0,2,整体,积极,好评！！！！！！！！
94,_, , ,好评,46,48,整体,积极,收到货，立马去实地使用了。还是比较好操作的。房产经纪人的神器。商家解释的很详细，物流也很快。好评
94,_, , ,比较好操作,15,20,使用体验,积极,收到货，立马去实地使用了。还是比较好操作的。房产经纪人的神器。商家解释的很详细，物流也很快。好评
94,物流,40,42,很快,43,45,物流,积极,收到货，立马去实地使用了。还是比较好操作的。房产经纪人的神器。商家解释的很详细，物流也很快。好评
95,_, , ,非常满意,80,84,整体,积极,帮老师买的相机，发货很快，和相机包一起买的，因为财务报销比较麻烦，发票折腾了好久才开好，还好顺利报销，客服很耐心，帮忙跟财务沟通了很久才开好发票，真的非常耐心，非常满意。相机包也很好，就是有点贵，有优惠就好啦。
95,发货,8,10,很快,10,12,物流,积极,帮老师买的相机，发货很快，和相机包一起买的，因为财务报销比较麻烦，发票折腾了好久才开好，还好顺利报销，客服很耐心，帮忙跟财务沟通了很久才开好发票，真的非常耐心，非常满意。相机包也很好，就是有点贵，有优惠就好啦。
95,_, , ,有点贵,94,97,价格,消极,帮老师买的相机，发货很快，和相机包一起买的，因为财务报销比较麻烦，发票折腾了好久才开好，还好顺利报销，客服很耐心，帮忙跟财务沟通了很久才开好发票，真的非常耐心，非常满意。相机包也很好，就是有点贵，有优惠就好啦。
95,客服,51,53,很耐心,53,56,物流,积极,帮老师买的相机，发货很快，和相机包一起买的，因为财务报销比较麻烦，发票折腾了好久才开好，还好顺利报销，客服很耐心，帮忙跟财务沟通了很久才开好发票，真的非常耐心，非常满意。相机包也很好，就是有点贵，有优惠就好啦。
95,客服,51,53,非常耐心,75,79,物流,积极,帮老师买的相机，发货很快，和相机包一起买的，因为财务报销比较麻烦，发票折腾了好久才开好，还好顺利报销，客服很耐心，帮忙跟财务沟通了很久才开好发票，真的非常耐心，非常满意。相机包也很好，就是有点贵，有优惠就好啦。
96,_, , ,蛮不错,0,3,整体,积极,蛮不错的，很实用。建议中介同行都买一个
96,_, , ,很实用,5,8,使用体验,积极,蛮不错的，很实用。建议中介同行都买一个
97,拍出来,15,18,挺好,19,21,拍摄,积极,正在研究，还要多看看的，看人家拍出来都挺好的！
98,_, , ,还可以,0,3,整体,中性,还可以就是内存太小了、没拍几个房子满了
99,_, , ,挺好用,9,12,使用体验,积极,东西到了，实际用了挺好用的，简单方便，容易操作，客服也挺认真的，手把手教操作，物流很快，有需要的可以放心购买
99,_, , ,简单方便,14,18,使用体验,积极,东西到了，实际用了挺好用的，简单方便，容易操作，客服也挺认真的，手把手教操作，物流很快，有需要的可以放心购买
99,物流,39,41,很快,41,43,物流,积极,东西到了，实际用了挺好用的，简单方便，容易操作，客服也挺认真的，手把手教操作，物流很快，有需要的可以放心购买
99,客服,24,26,挺认真,27,30,物流,积极,东西到了，实际用了挺好用的，简单方便，容易操作，客服也挺认真的，手把手教操作，物流很快，有需要的可以放心购买
99,_, , ,容易操作,19,23,使用体验,积极,东西到了，实际用了挺好用的，简单方便，容易操作，客服也挺认真的，手把手教操作，物流很快，有需要的可以放心购买
100,_, , ,很实用,22,25,使用体验,积极,做房产的法宝，看房的神器，这套全景相机?真的很实用，效果也非常好，这已经是第二台了，老板送的东西也多，服务态度点赞。这个月商圈拿到销售第一再买一台！
100,服务态度,51,55,点赞,55,57,物流,积极,做房产的法宝，看房的神器，这套全景相机?真的很实用，效果也非常好，这已经是第二台了，老板送的东西也多，服务态度点赞。这个月商圈拿到销售第一再买一台！
100,效果,26,28,非常好,29,32,拍摄,积极,做房产的法宝，看房的神器，这套全景相机?真的很实用，效果也非常好，这已经是第二台了，老板送的东西也多，服务态度点赞。这个月商圈拿到销售第一再买一台！
101,_, , ,好操作,19,22,使用体验,积极,房产经纪人离不开的设备，画面感很好，也好操作！
101,画面感,12,15,很好,15,17,拍摄,积极,房产经纪人离不开的设备，画面感很好，也好操作！
